posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
340058,731,1880,11073,8174,19247
50838,25,140,2128,332,2460
13293,16,36,10399,145,10544
23007,6,66,1157,49,1206
91278,78,0,5845,1579,7424
4539,2,0,534,60,594
10307,3,0,1678,148,1826
23680,7,0,4336,368,4704
6268,2,0,216,32,248
52874,7,56,5188,336,5524
88649,14,0,2306,986,3292
34647,0,10,1190,63,1253
28645,9,66,3669,455,4124
265,0,0,0,0,0
7129,0,0,464,32,496
92434,15,0,0,364,364
31090,15,77,1938,138,2076
12059,0,0,2052,67,2119
4005,0,10,70,6,76
6883,0,3,593,6,599
14765,5,9,1515,172,1687
12845,0,7,1558,45,1603
3,0,0,0,0,0
32534,1,0,4937,187,5124
117431,24,0,0,898,898
25773,14,49,1488,385,1873
26686,17,0,2185,1231,3416
7453,2,0,520,99,619
6994,0,0,0,0,0
123274,18,110,8697,1173,9870
31274,18,49,2775,667,3442
618,0,0,12,1,13
13526,0,2,551,20,571
11599,3,14,680,78,758
10995,0,11,710,24,734
62942,33,0,2953,1006,3959
26191,12,0,3006,533,3539
9084,3,15,763,98,861
18767,5,0,2066,38,2104
69166,35,0,6984,1857,8841
76429,29,96,3155,1337,4492
29617,24,123,844,436,1280
6587,0,6,0,29,29
61970,110,0,2789,1283,4072
28128,1,21,1300,51,1351
29835,5,0,2231,355,2586
21,0,0,0,0,0
20370,8,0,13052,100,13152
6790,0,0,174,13,187
40726,2,0,396,285,681
7213,0,1,408,18,426
6787,0,0,820,46,866
8370,0,6,290,48,338
89032,86,0,3281,3585,6866
19136,1,0,2227,81,2308
17629,0,0,681,117,798
320811,599,2111,9873,8658,18531
48378,23,110,4215,407,4622
2749,5,10,21,75,96
21801,0,0,1113,64,1177
83854,12,73,4613,1470,6083
3945,1,0,359,38,397
8481,2,0,1140,160,1300
18976,0,0,0,0,0
6020,2,1,379,48,427
47350,21,24,1881,169,2050
85357,13,0,13955,464,14419
33394,5,14,2432,70,2502
24521,3,66,609,241,850
265,0,0,16,1,17
6633,1,0,20,31,51
92070,13,0,3064,347,3411
29014,9,44,1405,173,1578
9940,1,0,1081,21,1102
3929,0,0,679,13,692
6284,1,4,230,14,244
13078,2,19,2009,216,2225
11242,2,24,785,87,872
3,0,0,0,0,0
27410,12,0,0,250,250
116533,43,0,1421,1412,2833
23900,15,52,1437,392,1829
23270,24,0,842,399,1241
6834,1,0,300,96,396
6994,0,0,447,80,527
113404,27,110,10297,1040,11337
27832,10,44,1051,487,1538
605,0,0,21,19,40
12955,1,1,645,32,677
10841,8,12,519,82,601
10261,0,4,1327,64,1391
58983,31,0,4503,899,5402
22652,11,0,2394,458,2852
8223,1,11,596,49,645
16663,3,0,1005,86,1091
60325,68,0,1313,514,1827
71937,15,77,2373,764,3137
28337,14,115,2243,484,2727
6558,0,3,0,14,14
57898,77,0,2926,1172,4098
26777,5,22,1284,70,1354
27249,10,0,2268,76,2344
21,0,0,0,0,0
7218,8,39,447,183,630
6603,1,0,405,21,426
40045,7,0,1089,183,1272
6787,0,1,559,21,580
5921,2,0,500,42,542
8032,2,6,446,81,527
82166,71,0,3429,3381,6810
16828,1,0,1148,48,1196
16831,0,0,574,94,668
302280,594,1709,10332,8327,18659
43756,17,98,1581,304,1885
2653,4,14,39,93,132
20624,1,19,3021,69,3090
77771,14,68,6248,1493,7741
3548,2,0,468,23,491
7181,8,0,675,116,791
18976,4,0,530,132,662
5593,0,3,341,28,369
45300,1,17,3597,312,3909
70938,22,0,6485,702,7187
30892,0,7,2672,177,2849
23671,-1,41,1889,230,2119
248,1,0,22,2,24
6582,2,0,687,51,738
88659,20,0,4694,398,5092
27436,12,36,1310,155,1465
8838,1,0,1110,42,1152
3237,0,0,95,10,105
6040,2,1,10,14,24
10853,8,212,1086,148,1234
10370,2,1,632,39,671
3,0,0,0,0,0
27160,11,0,2237,250,2487
113700,39,0,77075,1325,78400
22071,14,113,1215,445,1660
22029,34,0,1652,362,2014
6438,6,0,709,145,854
6467,0,0,879,143,1022
102067,28,175,8819,1526,10345
26294,17,81,700,329,1029
565,0,0,13,9,22
12278,1,3,1753,34,1787
10240,3,15,700,87,787
8870,1,6,803,122,925
53581,33,0,4080,1453,5533
19800,14,0,1449,516,1965
7578,4,21,426,78,504
15572,6,0,2707,61,2768
58498,39,0,2654,2199,4853
68800,24,102,4504,1334,5838
25610,11,157,1553,367,1920
6544,1,8,0,24,24
53800,61,0,3735,1143,4878
25423,2,24,1120,76,1196
24905,5,0,3257,178,3435
21,0,0,0,0,0
6588,6,16,380,97,477
6177,0,0,579,22,601
38773,5,0,6866,309,7175
6207,0,1,396,13,409
5379,0,0,571,42,613
7505,2,7,390,61,451
75356,200,0,3624,4229,7853
15632,3,0,762,92,854
16163,3,0,1403,228,1631
283621,630,2687,12260,10841,23101
41871,11,111,3069,427,3496
2521,4,27,47,171,218
17534,4,35,0,100,100
70030,34,152,6318,1597,7915
3057,3,0,556,74,630
6390,3,0,727,97,824
18314,9,0,10956,363,11319
5224,0,2,419,25,444
41391,6,18,3298,254,3552
63751,15,0,7207,780,7987
28043,1,11,3613,182,3795
21552,6,78,2152,395,2547
224,0,0,30,2,32
5844,3,0,544,72,616
83567,20,0,2800,386,3186
25971,19,101,1482,200,1682
7686,0,0,1274,45,1319
3132,0,2,241,25,266
6016,0,6,980,14,994
9619,3,0,684,199,883
9699,0,5,1115,61,1176
3,0,0,0,0,0
24673,9,0,1793,171,1964
35300,34,0,790,1510,2300
20411,17,90,1380,386,1766
20015,19,0,625,1090,1715
5584,3,0,410,104,514
5445,2,0,429,57,486
91722,35,164,12851,1575,14426
25265,21,102,1825,483,2308
543,1,0,17,2,19
10491,1,0,0,27,27
9453,0,18,700,85,785
7945,0,7,441,222,663
48048,53,0,3183,1209,4392
17835,24,0,1152,398,1550
7074,4,13,395,68,463
12804,11,0,4814,90,4904
53645,60,0,1412,1147,2559
62962,38,153,4918,1436,6354
23690,6,82,2042,427,2469
6520,2,7,0,56,56
48922,62,0,3302,1135,4437
24227,4,18,1786,47,1833
21470,0,0,1508,279,1787
21,0,0,0,0,0
6111,3,60,0,181,181
5576,0,4,240,16,256
31598,3,0,2683,236,2919
5798,0,1,804,14,818
4766,1,0,509,33,542
7054,1,15,497,64,561
67503,109,0,4088,4305,8393
14778,1,0,727,40,767
14532,5,0,430,56,486
260520,562,2879,11073,10482,21555
38375,10,93,3047,410,3457
2303,4,32,50,109,159
17434,1,16,1276,73,1349
62115,12,122,5997,1404,7401
2427,3,0,445,62,507
5566,2,0,445,52,497
6995,0,-655,0,0,0
4780,0,0,376,22,398
37839,5,30,3006,222,3228
55764,20,0,4424,661,5085
24248,0,6,2847,172,3019
19005,5,7,1110,306,1416
192,0,0,5,5,10
5228,0,0,128,51,179
80381,29,0,4019,586,4605
24289,6,26,2060,182,2242
6367,0,0,854,20,874
2866,0,2,265,12,277
5022,0,0,409,10,419
8736,6,0,806,156,962
8523,2,10,526,59,585
3,0,0,0,0,0
22709,3,0,1466,185,1651
33000,32,0,2037,1036,3073
18645,11,111,1420,376,1796
18300,27,0,1433,267,1700
5070,1,0,1155,67,1222
4959,1,0,551,25,576
77296,41,174,9757,1055,10812
22957,24,104,1921,710,2631
524,0,0,36,5,41
10464,0,2,1485,50,1535
8668,2,21,750,65,815
7282,0,3,537,144,681
43656,16,0,2557,715,3272
16285,13,0,1436,474,1910
6611,3,24,648,70,718
7900,3,0,255,89,344
51086,37,0,2584,2726,5310
56608,32,131,3642,1228,4870
21221,5,60,1657,346,2003
6464,0,5,0,32,32
44485,80,0,3131,1229,4360
22394,1,16,1150,53,1203
19683,1,0,2003,253,2256
21,1,0,13,2,15
5930,4,28,1041,104,1145
5320,0,3,383,19,402
28679,6,0,2163,273,2436
4980,0,5,470,17,487
4224,1,0,503,36,539
6493,0,2,93,0,93
59110,182,0,3133,3335,6468
14011,1,0,723,48,771
14046,12,0,1069,179,1248
238965,432,2449,9416,8669,18085
34918,16,123,5024,355,5379
2144,4,38,17,160,177
16085,3,34,2123,90,2213
54714,16,110,5271,1211,6482
1920,1,0,195,30,225
5069,2,0,581,91,672
6995,5,547,408,261,669
4382,0,5,314,36,350
